"plant ID"	GH location	Gall	tissue	plate	column	row
BLANK	BLANK	BLANK	BLANK	2	8	D
BLANK	BLANK	BLANK	BLANK	2	8	E
BLANK	BLANK	BLANK	BLANK	2	8	F
BLANK	BLANK	BLANK	BLANK	2	8	G
BLANK	BLANK	BLANK	BLANK	2	8	H
BLANK	BLANK	BLANK	BLANK	2	9	A
BLANK	BLANK	BLANK	BLANK	2	9	B
BLANK	BLANK	BLANK	BLANK	2	9	C
BLANK	BLANK	BLANK	BLANK	2	9	D
BLANK	BLANK	BLANK	BLANK	2	9	E
BLANK	BLANK	BLANK	BLANK	2	9	F
BLANK	BLANK	BLANK	BLANK	2	9	G
BLANK	BLANK	BLANK	BLANK	2	9	H
BLANK	BLANK	BLANK	BLANK	2	10	A
BLANK	BLANK	BLANK	BLANK	2	10	B
BLANK	BLANK	BLANK	BLANK	2	10	C
BLANK	BLANK	BLANK	BLANK	2	10	D
BLANK	BLANK	BLANK	BLANK	2	10	E
BLANK	BLANK	BLANK	BLANK	2	10	F
BLANK	BLANK	BLANK	BLANK	2	10	G
BLANK	BLANK	BLANK	BLANK	2	10	H
BLANK	BLANK	BLANK	BLANK	2	11	A
BLANK	BLANK	BLANK	BLANK	2	11	B
BLANK	BLANK	BLANK	BLANK	2	11	C
BLANK	BLANK	BLANK	BLANK	2	11	D
BLANK	BLANK	BLANK	BLANK	2	11	E
BLANK	BLANK	BLANK	BLANK	2	11	F
BLANK	BLANK	BLANK	BLANK	2	11	G
BLANK	BLANK	BLANK	BLANK	2	11	H
BLANK	BLANK	BLANK	BLANK	2	12	A
BLANK	BLANK	BLANK	BLANK	2	12	B
BLANK	BLANK	BLANK	BLANK	2	12	C
BLANK	BLANK	BLANK	BLANK	2	12	D
BLANK	BLANK	BLANK	BLANK	2	12	E
BLANK	BLANK	BLANK	BLANK	2	12	F
BLANK	BLANK	BLANK	BLANK	2	12	G
BLANK	BLANK	BLANK	BLANK	2	12	H
14	freeze dried in -20C	X	leaf	3	1	A
37	freeze dried in -20C	X	leaf	3	1	B
38	freeze dried in -20C	X	leaf	3	1	C
46	freeze dried in -20C	X	leaf	3	1	D
47	freeze dried in -20C	X	leaf	3	1	E
54	freeze dried in -20C	X	leaf	3	1	F
88	freeze dried in -20C	X	leaf	3	1	G
101	freeze dried in -20C	X	leaf	3	1	H
103	freeze dried in -20C	X	leaf	3	2	A
109	freeze dried in -20C	X	leaf	3	2	B
111	freeze dried in -20C	X	leaf	3	2	C
113	freeze dried in -20C	X	leaf	3	2	D
114	freeze dried in -20C	X	leaf	3	2	E
116	freeze dried in -20C	X	leaf	3	2	F
122	freeze dried in -20C	X	leaf	3	2	G
123	freeze dried in -20C	X	leaf	3	2	H
140	freeze dried in -20C	X	leaf	3	3	A
148	freeze dried in -20C	X	leaf	3	3	B
163	freeze dried in -20C	X	leaf	3	3	C
164	freeze dried in -20C	X	leaf	3	3	D
165	freeze dried in -20C	X	leaf	3	3	E
166	freeze dried in -20C	X	leaf	3	3	F
178	freeze dried in -20C	X	leaf	3	3	G
189	freeze dried in -20C	X	leaf	3	3	H
200	freeze dried in -20C	X	leaf	3	4	A
220	freeze dried in -20C	X	leaf	3	4	B
224	freeze dried in -20C	X	leaf	3	4	C
237	freeze dried in -20C	X	leaf	3	4	D
257	freeze dried in -20C	X	leaf	3	4	E
263	freeze dried in -20C	X	leaf	3	4	F
269	freeze dried in -20C	X	leaf	3	4	G
284	freeze dried in -20C	X	leaf	3	4	H
296	freeze dried in -20C	X	leaf	3	5	A
298	freeze dried in -20C	X	leaf	3	5	B
304	freeze dried in -20C	X	leaf	3	5	C
317	freeze dried in -20C	X	leaf	3	5	D
319	freeze dried in -20C	X	leaf	3	5	E
335	freeze dried in -20C	X	leaf	3	5	F
337	freeze dried in -20C	X	leaf	3	5	G
338	freeze dried in -20C	X	leaf	3	5	H
350	freeze dried in -20C	X	leaf	3	6	A
363	freeze dried in -20C	X	leaf	3	6	B
367	freeze dried in -20C	X	leaf	3	6	C
368	freeze dried in -20C	X	leaf	3	6	D
376	freeze dried in -20C	X	leaf	3	6	E
377	freeze dried in -20C	X	leaf	3	6	F
382	freeze dried in -20C	X	leaf	3	6	G
384	freeze dried in -20C	X	leaf	3	6	H
388	freeze dried in -20C	X	leaf	3	7	A
393	freeze dried in -20C	X	leaf	3	7	B
399	freeze dried in -20C	X	leaf	3	7	C
400	freeze dried in -20C	X	leaf	3	7	D
405	freeze dried in -20C	X	leaf	3	7	E
423	freeze dried in -20C	X	leaf	3	7	F
427	freeze dried in -20C	X	leaf	3	7	G
428	freeze dried in -20C	X	leaf	3	7	H
429	freeze dried in -20C	X	leaf	3	8	A
449	freeze dried in -20C	X	leaf	3	8	B
450	freeze dried in -20C	X	leaf	3	8	C
456	freeze dried in -20C	X	leaf	3	8	D
463	freeze dried in -20C	X	leaf	3	8	E
466	freeze dried in -20C	X	leaf	3	8	F
483	freeze dried in -20C	X	leaf	3	8	G
488	freeze dried in -20C	X	leaf	3	8	H
489	freeze dried in -20C	X	leaf	3	9	A
493	freeze dried in -20C	X	leaf	3	9	B
522	freeze dried in -20C	X	leaf	3	9	C
527	freeze dried in -20C	X	leaf	3	9	D
531	freeze dried in -20C	X	leaf	3	9	E
532	freeze dried in -20C	X	leaf	3	9	F
545	freeze dried in -20C	X	leaf	3	9	G
550	freeze dried in -20C	X	leaf	3	9	H
569	freeze dried in -20C	X	leaf	3	10	A
572	freeze dried in -20C	X	leaf	3	10	B
579	freeze dried in -20C	X	leaf	3	10	C
580	freeze dried in -20C	X	leaf	3	10	D
581	freeze dried in -20C	X	leaf	3	10	E
587	freeze dried in -20C	X	leaf	3	10	F
589	freeze dried in -20C	X	leaf	3	10	G
