sample	sample_long	sample_type	num_pooled
P01_WC10	P01_WC10_i5-508_i7-47_S791	nongalled_10_5_prog	1
P01_WC11	P01_WC11_i5-508_i7-70_S792	nongalled_10_5_prog	1
P01_WC12	P01_WC12_i5-508_i7-43_S793	nongalled_10_5_prog	1
P01_WD01	P01_WD01_i5-508_i7-52_S794	nongalled_10_5_prog	1
P01_WD02	P01_WD02_i5-508_i7-72_S795	nongalled_10_5_prog	1
P01_WD03	P01_WD03_i5-508_i7-30_S796	nongalled_10_5_prog	1
P01_WD04	P01_WD04_i5-508_i7-91_S797	nongalled_10_5_prog	1
P01_WD05	P01_WD05_i5-508_i7-71_S798	nongalled_10_5_prog	1
P01_WD06	P01_WD06_i5-508_i7-50_S799	nongalled_10_5_prog	1
P01_WD07	P01_WD07_i5-508_i7-86_S800	nongalled_10_5_prog	1
P01_WD08	P01_WD08_i5-508_i7-80_S801	nongalled_10_5_prog	1
P01_WD09	P01_WD09_i5-508_i7-64_S802	nongalled_10_5_prog	1
P01_WD10	P01_WD10_i5-508_i7-08_S803	nongalled_10_5_prog	1
P01_WD11	P01_WD11_i5-508_i7-58_S804	nongalled_10_5_prog	1
P01_WD12	P01_WD12_i5-508_i7-09_S805	nongalled_10_5_prog	1
P01_WE01	P01_WE01_i5-508_i7-48_S806	nongalled_10_5_prog	1
P01_WE02	P01_WE02_i5-508_i7-89_S807	nongalled_10_5_prog	1
P01_WE03	P01_WE03_i5-508_i7-87_S808	nongalled_10_5_prog	1
P01_WE04	P01_WE04_i5-508_i7-21_S809	nongalled_10_5_prog	1
P01_WE05	P01_WE05_i5-508_i7-94_S810	nongalled_10_5_prog	1
P01_WE06	P01_WE06_i5-508_i7-35_S811	nongalled_10_5_prog	1
P01_WE07	P01_WE07_i5-508_i7-44_S812	nongalled_10_5_prog	1
P01_WE08	P01_WE08_i5-508_i7-04_S813	nongalled_10_5_prog	1
P01_WE09	P01_WE09_i5-508_i7-24_S814	nongalled_10_5_prog	1
P01_WE10	P01_WE10_i5-508_i7-61_S815	nongalled_10_5_prog	1
P01_WE11	P01_WE11_i5-508_i7-13_S816	nongalled_10_5_prog	1
P01_WE12	P01_WE12_i5-508_i7-76_S817	nongalled_10_5_prog	1
P01_WF01	P01_WF01_i5-508_i7-28_S818	nongalled_10_5_prog	1
P01_WF02	P01_WF02_i5-508_i7-78_S819	nongalled_10_5_prog	1
P01_WF03	P01_WF03_i5-508_i7-79_S820	nongalled_10_5_prog	1
P01_WF04	P01_WF04_i5-508_i7-45_S821	nongalled_10_5_prog	1
P01_WF05	P01_WF05_i5-508_i7-92_S822	nongalled_10_5_prog	1
P01_WF06	P01_WF06_i5-508_i7-60_S823	nongalled_10_5_prog	1
P01_WF07	P01_WF07_i5-508_i7-33_S824	nongalled_10_5_prog	1
P01_WF08	P01_WF08_i5-508_i7-53_S825	nongalled_10_5_prog	1
P01_WF09	P01_WF09_i5-508_i7-46_S826	nongalled_10_5_prog	1
P01_WF10	P01_WF10_i5-508_i7-26_S827	nongalled_10_5_prog	1
P01_WF11	P01_WF11_i5-508_i7-51_S828	nongalled_10_5_prog	1
P01_WF12	P01_WF12_i5-508_i7-66_S829	nongalled_10_5_prog	1
P01_WG01	P01_WG01_i5-508_i7-84_S830	nongalled_10_5_prog	1
P01_WG03	P01_WG03_i5-508_i7-22_S831	nongalled_10_5_prog	1
P01_WG04	P01_WG04_i5-508_i7-10_S832	nongalled_10_5_prog	1
P01_WG05	P01_WG05_i5-508_i7-69_S833	nongalled_10_5_prog	1
P01_WG06	P01_WG06_i5-508_i7-14_S834	nongalled_10_5_prog	1
P01_WG07	P01_WG07_i5-508_i7-18_S835	nongalled_10_5_prog	1
P01_WG08	P01_WG08_i5-508_i7-68_S836	nongalled_10_5_prog	1
P01_WG09	P01_WG09_i5-508_i7-41_S837	nongalled_10_5_prog	1
P01_WG10	P01_WG10_i5-508_i7-37_S838	nongalled_10_5_prog	1
P01_WG11	P01_WG11_i5-508_i7-96_S839	nongalled_10_5_prog	1
P01_WG12	P01_WG12_i5-508_i7-42_S840	nongalled_10_5_prog	1
P01_WH01	P01_WH01_i5-508_i7-11_S841	nongalled_10_5_prog	1
P01_WH02	P01_WH02_i5-508_i7-32_S842	nongalled_10_5_prog	1
P01_WH03	P01_WH03_i5-508_i7-88_S843	nongalled_10_5_prog	1
P01_WH04	P01_WH04_i5-508_i7-73_S844	nongalled_10_5_prog	1
P01_WH05	P01_WH05_i5-508_i7-15_S845	nongalled_10_5_prog	1
P01_WH06	P01_WH06_i5-508_i7-49_S846	nongalled_10_5_prog	1
P01_WH07	P01_WH07_i5-508_i7-01_S847	nongalled_10_5_prog	1
P01_WH08	P01_WH08_i5-508_i7-85_S848	nongalled_10_5_prog	1
P01_WH09	P01_WH09_i5-508_i7-83_S849	nongalled_10_5_prog	1
P01_WH10	P01_WH10_i5-508_i7-34_S850	nongalled_10_5_prog	1
P01_WH11	P01_WH11_i5-508_i7-95_S851	nongalled_10_5_prog	1
P01_WH12	P01_WH12_i5-508_i7-56_S852	nongalled_10_5_prog	1
P02_WA01	P02_WA01_i5-509_i7-59_S853	nongalled_10_5_prog	1
P02_WA02	P02_WA02_i5-509_i7-27_S854	nongalled_10_5_prog	1
P02_WA03	P02_WA03_i5-509_i7-82_S855	nongalled_10_5_prog	1
P02_WA04	P02_WA04_i5-509_i7-07_S856	nongalled_10_5_prog	1
P02_WA05	P02_WA05_i5-509_i7-38_S857	nongalled_10_5_prog	1
P02_WA06	P02_WA06_i5-509_i7-74_S858	nongalled_10_5_prog	1
P02_WB01	P02_WB01_i5-509_i7-31_S860	nongalled_10_5_prog	1
P02_WB02	P02_WB02_i5-509_i7-39_S861	nongalled_10_5_prog	1
P02_WB03	P02_WB03_i5-509_i7-02_S862	nongalled_10_5_prog	1
P02_WB04	P02_WB04_i5-509_i7-20_S863	nongalled_10_5_prog	1
P02_WB05	P02_WB05_i5-509_i7-90_S864	nongalled_10_5_prog	1
P02_WB06	P02_WB06_i5-509_i7-06_S865	nongalled_10_5_prog	1
P02_WC01	P02_WC01_i5-509_i7-65_S867	nongalled_10_5_prog	1
P02_WC02	P02_WC02_i5-509_i7-67_S868	nongalled_10_5_prog	1
P02_WC03	P02_WC03_i5-509_i7-40_S869	nongalled_10_5_prog	1
P02_WC04	P02_WC04_i5-509_i7-19_S870	nongalled_10_5_prog	1
P02_WC05	P02_WC05_i5-509_i7-81_S871	nongalled_10_5_prog	1
P02_WC06	P02_WC06_i5-509_i7-03_S872	nongalled_10_5_prog	1
P02_WD01	P02_WD01_i5-509_i7-52_S874	nongalled_10_5_prog	1
P02_WD02	P02_WD02_i5-509_i7-72_S875	nongalled_10_5_prog	1
P02_WD03	P02_WD03_i5-509_i7-30_S876	nongalled_10_5_prog	1
P02_WD04	P02_WD04_i5-509_i7-91_S877	nongalled_10_5_prog	1
P02_WD05	P02_WD05_i5-509_i7-71_S878	nongalled_10_5_prog	1
P02_WD06	P02_WD06_i5-509_i7-50_S879	nongalled_10_5_prog	1
P02_WE01	P02_WE01_i5-509_i7-48_S881	nongalled_10_5_prog	1
P02_WE02	P02_WE02_i5-509_i7-89_S882	nongalled_10_5_prog	1
P02_WE03	P02_WE03_i5-509_i7-87_S883	nongalled_10_5_prog	1
P02_WE04	P02_WE04_i5-509_i7-21_S884	nongalled_10_5_prog	1
P02_WE05	P02_WE05_i5-509_i7-94_S885	nongalled_10_5_prog	1
P02_WE06	P02_WE06_i5-509_i7-35_S886	nongalled_10_5_prog	1
P02_WF01	P02_WF01_i5-509_i7-28_S888	nongalled_10_5_prog	1
P02_WF02	P02_WF02_i5-509_i7-78_S889	nongalled_10_5_prog	1
P02_WF03	P02_WF03_i5-509_i7-79_S890	nongalled_10_5_prog	1
P02_WF04	P02_WF04_i5-509_i7-45_S891	nongalled_10_5_prog	1
P02_WF05	P02_WF05_i5-509_i7-92_S892	nongalled_10_5_prog	1
P02_WF06	P02_WF06_i5-509_i7-60_S893	nongalled_10_5_prog	1
P02_WG01	P02_WG01_i5-509_i7-84_S895	nongalled_10_5_prog	1
P02_WG02	P02_WG02_i5-509_i7-12_S896	nongalled_10_5_prog	1
P02_WG03	P02_WG03_i5-509_i7-22_S897	nongalled_10_5_prog	1
P02_WG04	P02_WG04_i5-509_i7-10_S898	nongalled_10_5_prog	1
P02_WG05	P02_WG05_i5-509_i7-69_S899	nongalled_10_5_prog	1
P02_WG06	P02_WG06_i5-509_i7-14_S900	nongalled_10_5_prog	1
P02_WH01	P02_WH01_i5-509_i7-11_S902	nongalled_10_5_prog	1
P02_WH02	P02_WH02_i5-509_i7-32_S903	nongalled_10_5_prog	1
P02_WH03	P02_WH03_i5-509_i7-88_S904	nongalled_10_5_prog	1
P02_WH04	P02_WH04_i5-509_i7-73_S905	nongalled_10_5_prog	1
P02_WH05	P02_WH05_i5-509_i7-15_S906	nongalled_10_5_prog	1
P02_WH06	P02_WH06_i5-509_i7-49_S907	nongalled_10_5_prog	1
P03_WA01	P03_WA01_i5-510_i7-59_S908	galled_10_5_prog	1
P03_WA02	P03_WA02_i5-510_i7-27_S909	galled_10_5_prog	1
P03_WA03	P03_WA03_i5-510_i7-82_S910	galled_10_5_prog	1
P03_WA04	P03_WA04_i5-510_i7-07_S911	galled_10_5_prog	1
P03_WA05	P03_WA05_i5-510_i7-38_S912	galled_10_5_prog	1
P03_WA06	P03_WA06_i5-510_i7-74_S913	galled_10_5_prog	1
P03_WA07	P03_WA07_i5-510_i7-77_S914	galled_10_5_prog	1
P03_WA08	P03_WA08_i5-510_i7-16_S915	galled_10_5_prog	1
P03_WA09	P03_WA09_i5-510_i7-36_S916	galled_10_5_prog	1
P03_WA10	P03_WA10_i5-510_i7-54_S917	galled_10_5_prog	1
